Model,AUC,Precision,Recall,F1-Score
Logistic Regression,0.8621438589494781,0.3370598099496926,0.7604035308953342,0.4670797831138652
Random Forest,0.9056005787828336,0.4962486602357985,0.5838587641866331,0.5365005793742758
LightGBM,0.9183938944812021,0.5650224215246636,0.4766708701134931,0.5170998632010944
